"","LATITUDE","LONGITUDE","ELEVATION","avg_VALUE","avg_LOW","avg_UPP","TYPE","HUM","TEMP","PRED","avg_RES","res_LOW","res_UPP"
"1",48.357951,-115.460526,1082,2.71016966700554,1.38016128540039,4.04017804861069,"hard",59.2302360534668,2.69184637069702,11.2113450050405,-8.50117533803494,-9.83118371964009,-7.1711669564298
"2",49.147373,-115.460526,1064,3.90632374286652,1.69765930175781,6.11498818397522,"hard",66.0431747436523,0.502067804336548,11.9437022231497,-8.03737848028314,-10.2460429213918,-5.82871403917444
"3",50.726219,-115.460526,2165,1.3921125933528,0.845097354054453,1.93912783265114,"hard",74.8804092407227,-2.52429938316345,4.12594281589459,-2.73383022254179,-3.28084546184013,-2.18681498324344
"4",51.12093,-115.460526,2522,2.60959284156561,1.2064206391573,4.01276504397392,"hard",82.5520706176758,-1.80347418785095,7.34830186720576,-4.73870902564015,-6.14188122804847,-3.33553682323184
"5",51.515642,-115.460526,2154,6.48092171251774,3.44778671860695,9.51405670642854,"hard",78.1942367553711,-5.38660383224487,4.03124683178061,2.44967488073713,-0.58346011317366,5.48280987464793
"6",49.147373,-115.065789,1418,2.97440510317684,1.07041293233633,4.87839727401734,"hard",59.6994132995605,2.86905193328857,3.23404445118482,-0.25963934800798,-2.16363151884848,1.64435282283252
"7",49.542085,-115.065789,1687,3.72076706960797,1.3632617726922,6.07827236652374,"hard",67.8161544799805,-0.067390188574791,2.36768095630534,1.35308611330264,-1.00441918361313,3.71059141021841
"8",49.936796,-115.065789,2440,2.24133602380753,0.987810230255126,3.49486181735992,"hard",76.2837142944336,-1.62415289878845,6.6231356622397,-4.38179963843218,-5.63532543198458,-3.12827384487978
"9",50.726219,-115.065789,2361,4.41769828088582,2.72379556670785,6.11160099506378,"hard",82.9638290405273,-3.51827716827393,5.9146290675494,-1.49693078666358,-3.19083350084155,0.196971927514384
"10",51.12093,-115.065789,1319,5.39039212763311,2.65634567737581,8.12443857789041,"hard",77.7315292358398,-1.69454681873322,4.39349692449466,0.99689520313845,-1.73715124711885,3.73094165339575
"11",51.515642,-115.065789,1488,11.1830869495869,5.58972498178482,16.7764489173889,"hard",71.0325622558594,-0.996630072593689,2.98298749938328,8.20009945020359,2.60673748240154,13.7934614180056
"12",51.910353,-115.065789,1338,15.6003804028034,8.43853803873062,22.7622227668762,"hard",69.8782348632812,-1.72648847103119,4.06730858863454,11.5330718141689,4.37122945009608,18.6949141782417
"13",52.305064,-115.065789,1038,20.2671182096004,11.9863959431648,28.5478404760361,"hard",60.9532890319824,1.01431548595428,13.105997136882,7.16112107271848,-1.11960119371714,15.4418433391541
"14",55.462755,-115.065789,572,26.3082454249263,19.1251438230276,33.491347026825,"hard",64.0093231201172,0.207878366112709,62.0989937283609,-35.7907483034346,-42.9738499053333,-28.6076467015359
"15",49.147373,-114.671053,1965,2.9339400291443,0.964144563674931,4.90373549461366,"hard",68.5823745727539,-1.84888434410095,2.67762518215025,0.25631484699405,-1.71348061847531,2.22611031246341
"16",49.542085,-114.671053,1717,5.21923373937607,1.44412786960602,8.99433960914612,"hard",74.5522842407227,-2.24203205108643,2.2659140788918,2.95331966048427,-0.821786209285777,6.72842553025432
"17",49.936796,-114.671053,2053,6.67401053905487,2.59526429176331,10.7527567863464,"hard",77.4943542480469,-2.84636163711548,3.23168884831409,3.44232169074078,-0.636424556550786,7.52106793803234
"18",50.726219,-114.671053,1685,8.06060124273354,4.68787144889939,11.4333310365677,"hard",75.6930618286133,-2.12765216827393,2.37584281135317,5.68475843138037,2.31202863754622,9.05748822521451
"19",51.12093,-114.671053,1315,7.90407714843751,4.27265236377718,11.5355019330978,"hard",70.5171966552734,0.29149654507637,4.46971407460125,3.43436307383626,-0.197061710824077,7.06578785849659
"20",51.515642,-114.671053,1206,12.1247029602528,5.91437779664994,18.3350281238556,"hard",67.2591018676758,0.456820428371429,7.25677480435979,4.86792815589298,-1.34239700770986,11.0782533194958
"21",51.910353,-114.671053,1114,15.775555357337,8.22335652709008,23.3277541875839,"hard",65.6845855712891,0.592115044593811,10.0342009634942,5.74135439384276,-1.81084443640417,13.2935532240897
"22",52.305064,-114.671053,973,17.9275023952127,9.44068391621113,26.4143208742142,"hard",63.8074798583984,1.44347405433655,16.6644533061783,1.26304908903435,-7.22376938996718,9.74986756803587
"23",52.699776,-114.671053,1007,20.7019023742061,12.7218149214983,28.6819898269139,"hard",59.8588447570801,1.71764397621155,14.6762978305243,6.02560454368183,-1.95448290902598,14.0056919963896
"24",55.462755,-114.671053,860,27.9289809852838,20.2945249378681,35.5634370326996,"hard",61.9577560424805,-1.65275800228119,25.6243371633137,2.30464382197014,-5.3298122254456,9.93909986938587
"25",45.594971,-114.276316,1958,10.8949158553034,6.00379097536206,15.7860407352448,"hard",86.3919677734375,-0.811774969100952,2.6408112119403,8.25410464336311,3.36297976342176,13.1452295233045
"26",47.568528,-114.276316,892,4.02154273539782,2.09395702183246,5.94912844896317,"hard",68.1841278076172,4.36978435516357,22.7485656412565,-18.7270229058587,-20.6546086194241,-16.7994371922934
"27",47.963239,-114.276316,1493,2.59576196223498,1.51227823197842,3.67924569249153,"hard",68.9348831176758,1.76317620277405,2.97432980785539,-0.378567845620409,-1.46205157587697,0.704915884636149
"28",48.357951,-114.276316,934,4.01949422676116,2.29606391824782,5.7429245352745,"hard",65.8967056274414,3.51980876922607,19.3392643907898,-15.3197701640287,-17.043200472542,-13.5963398555153
"29",48.752662,-114.276316,1072,2.25102364495397,1.01502723246813,3.4870200574398,"hard",72.6506500244141,0.36827877163887,11.6113816435098,-9.36035799855585,-10.5963544110417,-8.12436158607001
"30",49.542085,-114.276316,1254,3.82003100365402,0.596898183226594,7.04316382408144,"hard",73.2491836547852,-0.0714998915791512,5.96314248295927,-2.14311147930526,-5.36624429973268,1.08002134112217
"31",49.936796,-114.276316,1607,8.11083016395569,2.46026043891907,13.7613998889923,"hard",74.4608612060547,-0.939623236656189,2.76847396825696,5.34235619569873,-0.308213529337891,10.9929259207354
"32",50.331507,-114.276316,1298,6.42495996840298,2.43557833209634,10.4143416047096,"hard",70.9735565185547,0.120231881737709,4.82483426949541,1.60012569890757,-2.38925593739907,5.58950733521421
"33",50.726219,-114.276316,1245,8.52128832638265,4.23877995610239,12.8037966966629,"hard",62.8309936523438,1.17260003089905,6.20561517785223,2.31567314853043,-1.96683522174984,6.5981815188107
"34",51.12093,-114.276316,1143,7.66950324177741,4.09043364524841,11.2485728383064,"hard",62.3255805969238,1.62035393714905,9.08099722283015,-1.41149398105274,-4.99056357758174,2.16757561547627
"35",51.515642,-114.276316,1134,11.5690233051777,6.03246719837189,17.1055794119835,"hard",65.4183731079102,1.23534417152405,9.36689767906104,2.20212562611666,-3.33443048068914,7.73868173292246
